id,tokencount,department,messagecount,method,created_on,updated_on
1902,350,RAW-GB4-6-Stab,2,Chat,2023-12-13 08:19:12.284741,2023-12-13 08:19:12.284748
1906,603,RBS-ZIM-SÜD-1,2,Chat,2023-12-13 08:40:34.178293,2023-12-13 08:40:34.178299
1911,560,POR-5/3,2,Chat,2023-12-13 08:49:50.873625,2023-12-13 08:49:50.873631
1913,1189,POR-5/3,4,Chat,2023-12-13 08:57:01.860659,2023-12-13 08:57:01.860666
1914,50,RAW-GB4-6-Stab,1,Chat,2023-12-13 09:11:35.824144,2023-12-13 09:11:35.824150
1916,106,BAU-T312,1,Chat,2023-12-13 09:26:32.826359,2023-12-13 09:26:32.826365
1917,85,ITM-KM-IL,1,Chat,2023-12-13 09:43:55.176664,2023-12-13 09:43:55.176670
1924,3962,ITM-KM-IL,1,Sum,2023-12-13 09:48:37.620609,2023-12-13 09:48:37.620613
1925,914,ITM-KM-IL,1,Brainstorm,2023-12-13 09:49:24.922139,2023-12-13 09:49:24.922143
1926,223,RBS-ZIM-SÜD-1,2,Chat,2023-12-13 09:50:22.249638,2023-12-13 09:50:22.249645
1927,576,RBS-ZIM-SÜD-1,3,Chat,2023-12-13 09:52:12.673224,2023-12-13 09:52:12.673230
1928,872,RBS-ZIM-SÜD-1,4,Chat,2023-12-13 09:53:11.542483,2023-12-13 09:53:11.542489
1930,1620,RBS-ZIM-SÜD-1,6,Chat,2023-12-13 09:58:38.453288,2023-12-13 09:58:38.453294
1933,803,RAW-GB4-6-Stab,1,Chat,2023-12-13 10:01:13.298347,2023-12-13 10:01:13.298353
1936,221,ITM-KM-IL,1,Chat,2023-12-13 10:07:00.230487,2023-12-13 10:07:00.230493
1937,1046,ITM-KM-IL,1,Brainstorm,2023-12-13 10:07:51.028220,2023-12-13 10:07:51.028224
1942,934,STR-SPD-Volt-Büro,1,Brainstorm,2023-12-13 10:11:13.469908,2023-12-13 10:11:13.469912
1944,1047,ITM-KM-IL,1,Brainstorm,2023-12-13 10:12:43.282841,2023-12-13 10:12:43.282845
1945,1134,ITM-KM-IL,1,Brainstorm,2023-12-13 10:13:15.774901,2023-12-13 10:13:15.774905
1946,1003,ITM-KM-IL,1,Brainstorm,2023-12-13 10:13:39.545867,2023-12-13 10:13:39.545871
1953,1065,ITM-KM-IL,5,Chat,2023-12-13 10:18:49.094442,2023-12-13 10:18:49.094448
1957,2256,ITM-KM-IL,9,Chat,2023-12-13 10:21:27.937894,2023-12-13 10:21:27.937900
1961,1708,RBS-ZIM-SÜD-1,8,Chat,2023-12-13 10:22:10.408103,2023-12-13 10:22:10.408109
1963,1746,RBS-ZIM-SÜD-1,9,Chat,2023-12-13 10:22:22.339798,2023-12-13 10:22:22.339804
1966,1781,RBS-ZIM-SÜD-1,10,Chat,2023-12-13 10:22:38.154146,2023-12-13 10:22:38.154152
1968,1787,RBS-ZIM-SÜD-1,10,Chat,2023-12-13 10:22:51.529173,2023-12-13 10:22:51.529179
1969,2098,RBS-ZIM-SÜD-1,11,Chat,2023-12-13 10:24:53.040313,2023-12-13 10:24:53.040317
1971,3704,ITM-KM-IL,14,Chat,2023-12-13 10:26:04.116299,2023-12-13 10:26:04.116305
1973,4113,ITM-KM-IL,1,Sum,2023-12-13 10:27:15.975647,2023-12-13 10:27:15.975652
1977,125,ITM-KM-IL,1,Chat,2023-12-13 10:30:38.103979,2023-12-13 10:30:38.104002
1981,608,ITM-KM-IL,4,Chat,2023-12-13 10:32:58.620301,2023-12-13 10:32:58.620306
1982,137,ITM-KM83,1,Chat,2023-12-13 10:35:02.077479,2023-12-13 10:35:02.077488
1986,316,ITM-KM83,2,Chat,2023-12-13 10:38:18.306287,2023-12-13 10:38:18.306294
1990,313,ITM-KM-IL,1,Chat,2023-12-13 10:39:58.860735,2023-12-13 10:39:58.860741
1993,129,ITM-KM8,1,Chat,2023-12-13 10:40:38.003944,2023-12-13 10:40:38.003950
1994,395,ITM-KM81,2,Chat,2023-12-13 10:40:58.160516,2023-12-13 10:40:58.160522
1998,490,ITM-KM8,3,Chat,2023-12-13 10:41:50.184352,2023-12-13 10:41:50.184358
2002,915,ITM-KM8,5,Chat,2023-12-13 10:43:02.978022,2023-12-13 10:43:02.978027
2003,1085,ITM-KM8,6,Chat,2023-12-13 10:43:17.251067,2023-12-13 10:43:17.251072
2005,1285,ITM-KM83,6,Chat,2023-12-13 10:43:36.748320,2023-12-13 10:43:36.748325
2010,2342,ITM-KM83,8,Chat,2023-12-13 10:45:56.536695,2023-12-13 10:45:56.536718
2011,2378,ITM-KM83,9,Chat,2023-12-13 10:46:14.324622,2023-12-13 10:46:14.324628
2018,2358,ITM-KM-IL,1,Sum,2023-12-13 11:03:37.283974,2023-12-13 11:03:37.283978
2019,1129,ITM-KM-IL,1,Brainstorm,2023-12-13 11:03:50.153712,2023-12-13 11:03:50.153716
2020,4048,ITM-KM-IL,1,Sum,2023-12-13 11:13:28.462496,2023-12-13 11:13:28.462501
2021,831,ITM-KM-IL,1,Brainstorm,2023-12-13 11:15:16.926694,2023-12-13 11:15:16.926698
2024,127,ITM-KM-IL,1,Chat,2023-12-13 11:20:27.210078,2023-12-13 11:20:27.210084
2025,217,ITM-KM-IL,2,Chat,2023-12-13 11:20:57.011675,2023-12-13 11:20:57.011681
2027,57,ITM-KM-IL,1,Chat,2023-12-13 11:23:49.049148,2023-12-13 11:23:49.049170
2029,233,ITM-KM-IL,3,Chat,2023-12-13 11:24:28.564918,2023-12-13 11:24:28.564924
2030,305,ITM-KM-IL,4,Chat,2023-12-13 11:25:07.174548,2023-12-13 11:25:07.174554
2031,222,STR-SPD-Volt-Büro,1,Chat,2023-12-13 11:26:22.908719,2023-12-13 11:26:22.908724
2032,409,PLAN-HAI-22,1,Chat,2023-12-13 11:28:38.662038,2023-12-13 11:28:38.662044
2033,126,POR-BdR,1,Chat,2023-12-13 11:30:50.934571,2023-12-13 11:30:50.934577
2034,334,POR-BdR,2,Chat,2023-12-13 11:31:19.626354,2023-12-13 11:31:19.626360
2035,294,RIT-RL-BdR,1,Chat,2023-12-13 11:42:27.699832,2023-12-13 11:42:27.699838
2037,1361,POR-5/3,5,Chat,2023-12-13 12:04:43.850910,2023-12-13 12:04:43.850917
2039,4203,ITM-KM83,16,Chat,2023-12-13 12:12:51.056507,2023-12-13 12:12:51.056514
2043,382,ITM-KM83,3,Chat,2023-12-13 12:14:42.038952,2023-12-13 12:14:42.038957
2045,474,ITM-KM83,4,Chat,2023-12-13 12:15:32.432982,2023-12-13 12:15:32.432988
2583,523,ITM-KM-IL,3,Chat,2023-12-14 15:08:50.137908,2023-12-14 15:08:50.137914
2584,1103,ITM-KM81,3,Chat,2023-12-14 15:09:04.132638,2023-12-14 15:09:04.132645
2588,2604,ITM-IBS342,7,Chat,2023-12-14 15:11:32.297955,2023-12-14 15:11:32.297959
2589,214,ITM-KM83,1,Chat,2023-12-14 15:12:33.936591,2023-12-14 15:12:33.936597
2594,910,ITM-KM83,4,Chat,2023-12-14 15:13:49.084251,2023-12-14 15:13:49.084257
2597,394,ITM-KM83,1,Chat,2023-12-14 15:14:37.766918,2023-12-14 15:14:37.766924
2600,2237,ITM-KM83,7,Chat,2023-12-14 15:15:16.380947,2023-12-14 15:15:16.380954
2605,3513,ITM-KM83,11,Chat,2023-12-14 15:16:42.463918,2023-12-14 15:16:42.463924
2607,4412,ITM-KM83,13,Chat,2023-12-14 15:17:19.844395,2023-12-14 15:17:19.844401
2608,3145,ITM-IBS342,1,Chat,2023-12-14 15:19:37.186946,2023-12-14 15:19:37.186952
2612,3844,PLAN-HAI-22,1,Chat,2023-12-14 15:37:57.076605,2023-12-14 15:37:57.076610
2613,4633,PLAN-HAI-22,2,Chat,2023-12-14 15:41:12.696461,2023-12-14 15:41:12.696467
2614,458,ITM-KM83,1,Chat,2023-12-14 15:46:40.660317,2023-12-14 15:46:40.660323
2615,1163,ITM-KM8,4,Chat,2023-12-14 15:52:23.215821,2023-12-14 15:52:23.215825
2616,1525,ITM-KM8,5,Chat,2023-12-14 15:53:07.135062,2023-12-14 15:53:07.135068
2618,1035,ITM-KM83,2,Chat,2023-12-14 15:53:34.675166,2023-12-14 15:53:34.675172
2619,2223,ITM-KM8,7,Chat,2023-12-14 15:53:40.003757,2023-12-14 15:53:40.003779
2621,2505,ITM-KM8,9,Chat,2023-12-14 15:54:51.374593,2023-12-14 15:54:51.374598
2622,2841,ITM-KM8,10,Chat,2023-12-14 15:56:00.559210,2023-12-14 15:56:00.559217
2625,3938,ITM-KM8,13,Chat,2023-12-14 15:59:25.613489,2023-12-14 15:59:25.613495
2627,4442,ITM-KM8,14,Chat,2023-12-14 15:59:58.310801,2023-12-14 15:59:58.310807
2634,2292,ITM-KM41,10,Chat,2023-12-14 17:05:12.480985,2023-12-14 17:05:12.480991
2635,2738,ITM-KM41,11,Chat,2023-12-14 17:06:06.217573,2023-12-14 17:06:06.217580
2646,282,ITM-IBS51,1,Chat,2023-12-15 06:51:14.340432,2023-12-15 06:51:14.340443
2651,1525,ITM-IBS51,6,Chat,2023-12-15 06:57:55.485822,2023-12-15 06:57:55.485828
2655,279,RBS-1-1741,1,Chat,2023-12-15 07:58:37.477918,2023-12-15 07:58:37.477925
2656,362,RBS-1-1741,2,Chat,2023-12-15 07:59:07.040679,2023-12-15 07:59:07.040685
2657,141,RBS-ZIM-SÜD-1,1,Chat,2023-12-15 08:11:00.780916,2023-12-15 08:11:00.780922
2658,141,RBS-ZIM-SÜD-1,1,Chat,2023-12-15 08:11:28.739797,2023-12-15 08:11:28.739804
2661,367,RBS-ZIM-SÜD-1,3,Chat,2023-12-15 08:14:08.706475,2023-12-15 08:14:08.706482
2663,378,POR-2/13,1,Chat,2023-12-15 08:43:50.780477,2023-12-15 08:43:50.780484
2665,1052,POR-2/13,3,Chat,2023-12-15 08:45:28.390986,2023-12-15 08:45:28.390993
2666,3292,KVR-GL/31,1,Sum,2023-12-15 08:45:41.743007,2023-12-15 08:45:41.743011
2670,940,POR-2/13,2,Chat,2023-12-15 08:49:56.415890,2023-12-15 08:49:56.415897
2672,160,ITM-KM82,2,Chat,2023-12-15 08:50:25.971624,2023-12-15 08:50:25.971630
2685,253,RIT-RL-BdR,1,Chat,2023-12-15 09:33:17.994755,2023-12-15 09:33:17.994760
2687,131,ITM-IBS131,1,Chat,2023-12-15 09:45:05.221862,2023-12-15 09:45:05.221868
2698,5553,KVR-GL/31,1,Sum,2023-12-15 10:26:10.420885,2023-12-15 10:26:10.420889
1025,680,RIT-RL-BdR,3,Chat,2023-12-05 16:30:31.966705,2023-12-05 16:30:31.966712
1031,2399,MOR-GB2.45,5,Chat,2023-12-05 16:47:44.519091,2023-12-05 16:47:44.519098
1033,346,RBS-ZIM-SÜD-1,1,Chat,2023-12-06 07:32:06.250384,2023-12-06 07:32:06.250393
1034,637,RBS-ZIM-SÜD-1,2,Chat,2023-12-06 07:34:06.187649,2023-12-06 07:34:06.187659
1035,940,RBS-ZIM-SÜD-1,3,Chat,2023-12-06 07:36:21.384105,2023-12-06 07:36:21.384112
1036,1240,RBS-ZIM-SÜD-1,4,Chat,2023-12-06 07:37:28.128715,2023-12-06 07:37:28.128722
1037,1627,RBS-ZIM-SÜD-1,5,Chat,2023-12-06 07:45:53.538478,2023-12-06 07:45:53.538484
1038,2021,RBS-ZIM-SÜD-1,6,Chat,2023-12-06 07:47:03.004709,2023-12-06 07:47:03.004719
1039,2106,RBS-ZIM-SÜD-1,7,Chat,2023-12-06 07:50:51.843873,2023-12-06 07:50:51.843878
1040,2150,RBS-ZIM-SÜD-1,7,Chat,2023-12-06 07:51:01.401247,2023-12-06 07:51:01.401252
1041,2457,RBS-ZIM-SÜD-1,8,Chat,2023-12-06 07:51:54.376507,2023-12-06 07:51:54.376513
1042,574,S-I-WH5,1,Chat,2023-12-06 07:52:54.217781,2023-12-06 07:52:54.217789
1043,3245,RBS-ZIM-SÜD-1,9,Chat,2023-12-06 07:56:30.273762,2023-12-06 07:56:30.273768
1044,391,RIT-I-A2,1,Chat,2023-12-06 08:38:37.115443,2023-12-06 08:38:37.115453
1045,793,RIT-I-A2,2,Chat,2023-12-06 08:43:35.679037,2023-12-06 08:43:35.679044
1046,320,ITM-KM82,1,Chat,2023-12-06 08:56:17.140544,2023-12-06 08:56:17.140551
1047,367,ITM-KM82,1,Chat,2023-12-06 08:58:14.242764,2023-12-06 08:58:14.242770
1048,532,ITM-KM82,2,Chat,2023-12-06 08:58:43.066408,2023-12-06 08:58:43.066413
1049,559,PLAN-HAII-STAB,1,Chat,2023-12-06 09:02:28.609233,2023-12-06 09:02:28.609242
1050,359,S-I-WH6,1,Chat,2023-12-06 09:07:46.669381,2023-12-06 09:07:46.669388
1051,385,S-I-WH6,1,Chat,2023-12-06 09:09:15.544804,2023-12-06 09:09:15.544811
1052,2330,S-I-WH6,1,Sum,2023-12-06 09:11:16.395960,2023-12-06 09:11:16.395966
1053,785,S-I-WH6,1,Brainstorm,2023-12-06 09:12:06.187278,2023-12-06 09:12:06.187284
1054,795,S-I-WH6,1,Brainstorm,2023-12-06 09:12:29.939943,2023-12-06 09:12:29.939947
1055,1146,PLAN-HAII-STAB,1,Brainstorm,2023-12-06 09:15:19.232814,2023-12-06 09:15:19.232818
1056,669,ITM-KM82,3,Chat,2023-12-06 09:17:51.115570,2023-12-06 09:17:51.115576
1057,948,ITM-KM82,4,Chat,2023-12-06 09:18:15.583685,2023-12-06 09:18:15.583692
1058,1252,ITM-KM82,5,Chat,2023-12-06 09:27:57.808908,2023-12-06 09:27:57.808914
1059,482,D-B-OB,1,Chat,2023-12-06 09:28:06.145471,2023-12-06 09:28:06.145478
1060,1791,ITM-KM82,6,Chat,2023-12-06 09:30:25.507901,2023-12-06 09:30:25.507907
1061,996,RIT-RL-BdR,1,Brainstorm,2023-12-06 09:30:49.679672,2023-12-06 09:30:49.679677
1062,835,RIT-RL-BdR,1,Brainstorm,2023-12-06 09:32:03.230799,2023-12-06 09:32:03.230804
1063,21,RIT-RL-BdR,1,Chat,2023-12-06 09:32:53.112389,2023-12-06 09:32:53.112396
1064,20,RIT-RL-BdR,1,Chat,2023-12-06 09:32:59.075516,2023-12-06 09:32:59.075523
1065,21,RIT-RL-BdR,1,Chat,2023-12-06 09:33:00.346916,2023-12-06 09:33:00.346922
1066,20,RIT-RL-BdR,1,Chat,2023-12-06 09:33:01.939580,2023-12-06 09:33:01.939587
1067,209,STR-SPD-Volt-Büro,1,Chat,2023-12-06 09:33:44.228503,2023-12-06 09:33:44.228510
1068,413,STR-SPD-Volt-Büro,2,Chat,2023-12-06 09:34:50.608881,2023-12-06 09:34:50.608903
1069,446,STR-SPD-Volt-Büro,3,Chat,2023-12-06 09:34:56.913714,2023-12-06 09:34:56.913719
1070,312,STR-SPD-Volt-Büro,1,Chat,2023-12-06 09:36:22.433745,2023-12-06 09:36:22.433751
1071,1092,STR-SPD-Volt-Büro,1,Brainstorm,2023-12-06 09:36:36.973616,2023-12-06 09:36:36.973622
1072,226,RIT-RL-BdR,1,Chat,2023-12-06 09:38:17.552687,2023-12-06 09:38:17.552694
1073,252,RIT-RL-BdR,1,Chat,2023-12-06 09:38:24.132387,2023-12-06 09:38:24.132393
1074,305,ITM-KM82,1,Chat,2023-12-06 09:38:37.871349,2023-12-06 09:38:37.871356
1075,490,RIT-RL-BdR,2,Chat,2023-12-06 09:38:40.911682,2023-12-06 09:38:40.911689
1076,500,ITM-KM82,2,Chat,2023-12-06 09:39:16.776797,2023-12-06 09:39:16.776802
1077,902,STR-SPD-Volt-Büro,1,Brainstorm,2023-12-06 09:41:55.630541,2023-12-06 09:41:55.630546
1078,746,ITM-KM82,3,Chat,2023-12-06 09:42:36.112544,2023-12-06 09:42:36.112550
1079,623,STR-SPD-Volt-Büro,1,Chat,2023-12-06 09:43:05.041097,2023-12-06 09:43:05.041108
1080,966,STR-SPD-Volt-Büro,2,Chat,2023-12-06 09:44:19.532886,2023-12-06 09:44:19.532893
1081,64,POR-5,1,Chat,2023-12-06 09:57:16.364886,2023-12-06 09:57:16.364901
1082,234,ITM-KM82,1,Chat,2023-12-06 10:05:36.422179,2023-12-06 10:05:36.422186
1083,384,ITM-KM82,2,Chat,2023-12-06 10:05:50.138976,2023-12-06 10:05:50.138983
1084,603,ITM-KM82,3,Chat,2023-12-06 10:08:57.916201,2023-12-06 10:08:57.916208
1085,476,POR-5,2,Chat,2023-12-06 10:09:33.397719,2023-12-06 10:09:33.397725
1086,497,PLAN-HAII-STAB,1,Chat,2023-12-06 10:58:55.947532,2023-12-06 10:58:55.947559
1087,184,PLAN-HAII-STAB,1,Chat,2023-12-06 10:59:28.921731,2023-12-06 10:59:28.921737
1088,738,PLAN-HAII-STAB,1,Brainstorm,2023-12-06 11:00:26.284582,2023-12-06 11:00:26.284586
1089,5092,ITM-KM-IL,1,Sum,2023-12-06 11:26:08.098797,2023-12-06 11:26:08.098802
1090,3398,ITM-KM-IL,1,Chat,2023-12-06 11:27:44.963771,2023-12-06 11:27:44.963776
1091,67,ITM-KM82,1,Chat,2023-12-06 11:52:44.768919,2023-12-06 11:52:44.768926
1092,389,ITM-KM82,2,Chat,2023-12-06 11:53:02.788290,2023-12-06 11:53:02.788296
1093,122,ITM-KM-IL,1,Chat,2023-12-06 12:02:06.357633,2023-12-06 12:02:06.357640
1094,183,ITM-KM-IL,2,Chat,2023-12-06 12:02:32.461975,2023-12-06 12:02:32.461981
1095,3691,ITM-KM-IL,2,Chat,2023-12-06 12:03:12.512755,2023-12-06 12:03:12.512762
1096,275,ITM-KM-IL,3,Chat,2023-12-06 12:04:24.542414,2023-12-06 12:04:24.542420
1097,441,ITM-KM-IL,4,Chat,2023-12-06 12:04:37.998067,2023-12-06 12:04:37.998074
1098,649,ITM-KM-IL,5,Chat,2023-12-06 12:05:20.928430,2023-12-06 12:05:20.928436
1099,4315,ITM-KM-IL,3,Chat,2023-12-06 12:05:22.336472,2023-12-06 12:05:22.336478
1100,4315,ITM-KM-IL,3,Chat,2023-12-06 12:05:35.565494,2023-12-06 12:05:35.565499
1101,4924,ITM-KM-IL,4,Chat,2023-12-06 12:05:56.873555,2023-12-06 12:05:56.873561
1102,813,ITM-KM-IL,6,Chat,2023-12-06 12:06:03.369310,2023-12-06 12:06:03.369317
1103,863,ITM-KM-IL,1,Chat,2023-12-06 12:06:14.269926,2023-12-06 12:06:14.269932
1104,236,ITM-KM82,1,Chat,2023-12-06 12:07:22.847012,2023-12-06 12:07:22.847018
1105,506,ITM-KM82,2,Chat,2023-12-06 12:08:23.856528,2023-12-06 12:08:23.856534
1106,864,ITM-KM82,3,Chat,2023-12-06 12:08:48.708805,2023-12-06 12:08:48.708811
1107,187,ITM-KM82,1,Chat,2023-12-06 12:21:58.877819,2023-12-06 12:21:58.877826
1108,298,ITM-KM82,2,Chat,2023-12-06 12:22:34.129431,2023-12-06 12:22:34.129437
1109,541,ITM-KM82,3,Chat,2023-12-06 12:23:57.475515,2023-12-06 12:23:57.475521
1110,681,ITM-KM82,4,Chat,2023-12-06 12:26:02.401017,2023-12-06 12:26:02.401023
1111,200,KVR-III/2322,1,Chat,2023-12-06 12:30:44.036863,2023-12-06 12:30:44.036869
1112,190,KVR-III/2322,1,Chat,2023-12-06 12:32:07.031650,2023-12-06 12:32:07.031657
1113,227,KVR-III/2322,1,Chat,2023-12-06 12:32:18.374784,2023-12-06 12:32:18.374790
1114,498,KVR-III/2322,2,Chat,2023-12-06 12:33:08.477350,2023-12-06 12:33:08.477357
1115,751,KVR-III/2322,3,Chat,2023-12-06 12:34:18.649417,2023-12-06 12:34:18.649423
1116,101,KVR-GL/31,1,Chat,2023-12-06 12:37:40.231617,2023-12-06 12:37:40.231623
1117,818,ITM-KM-IL,1,Chat,2023-12-06 12:48:44.789013,2023-12-06 12:48:44.789020
1118,4313,RAW-GB4-6-Stab,1,Sum,2023-12-06 12:54:49.367446,2023-12-06 12:54:49.367451
1119,1296,RAW-GB4-6-Stab,1,Brainstorm,2023-12-06 12:55:18.078335,2023-12-06 12:55:18.078340
1120,887,ITM-IBS411,1,Brainstorm,2023-12-06 13:21:59.783816,2023-12-06 13:21:59.783820
1121,137,ITM-IBS411,1,Chat,2023-12-06 13:22:24.742519,2023-12-06 13:22:24.742528
1122,262,ITM-IBS411,2,Chat,2023-12-06 13:22:41.143141,2023-12-06 13:22:41.143147
1123,406,ITM-IBS411,3,Chat,2023-12-06 13:22:58.341286,2023-12-06 13:22:58.341311
1124,937,ITM-IBS411,1,Brainstorm,2023-12-06 13:26:31.044954,2023-12-06 13:26:31.044958
1125,771,ITM-IBS411,1,Brainstorm,2023-12-06 13:26:53.479563,2023-12-06 13:26:53.479568
1126,774,ITM-IBS411,1,Brainstorm,2023-12-06 13:27:15.669132,2023-12-06 13:27:15.669140
1127,415,ITM-IBS51,1,Chat,2023-12-06 13:27:19.093141,2023-12-06 13:27:19.093148
1128,234,KVR-GL/31,1,Chat,2023-12-06 13:27:20.958529,2023-12-06 13:27:20.958535
1129,105,ITM-KM83,1,Chat,2023-12-06 13:28:05.086502,2023-12-06 13:28:05.086508
1130,283,MOR-GB2.45,1,Chat,2023-12-06 13:42:57.333226,2023-12-06 13:42:57.333233
1131,233,ITM-KM83,1,Chat,2023-12-06 13:46:17.041074,2023-12-06 13:46:17.041081
1132,202,ITM-KM83,1,Chat,2023-12-06 13:46:30.242954,2023-12-06 13:46:30.242961
1133,235,ITM-KM83,1,Chat,2023-12-06 13:46:42.812481,2023-12-06 13:46:42.812487
1134,475,MOR-GB2.45,2,Chat,2023-12-06 13:53:12.412687,2023-12-06 13:53:12.412691
1137,1242,MOR-GB2.45,4,Chat,2023-12-06 13:58:24.464203,2023-12-06 13:58:24.464209
1141,4371,PLAN-HAI-22,2,Chat,2023-12-06 14:02:31.356092,2023-12-06 14:02:31.356098
1142,2430,MOR-GB2.45,7,Chat,2023-12-06 14:02:36.103511,2023-12-06 14:02:36.103518
1149,479,PLAN-WS,1,Chat,2023-12-06 14:30:18.829348,2023-12-06 14:30:18.829355
1151,1526,PLAN-HAI-22,1,Chat,2023-12-06 14:41:49.741993,2023-12-06 14:41:49.741999
1152,1611,PLAN-HAI-22,2,Chat,2023-12-06 14:42:24.178686,2023-12-06 14:42:24.178692
1155,1249,ITM-IBS342,1,Brainstorm,2023-12-06 14:47:43.229820,2023-12-06 14:47:43.229825
1156,1051,ITM-IBS342,1,Brainstorm,2023-12-06 14:48:32.789662,2023-12-06 14:48:32.789667
1160,373,S-I-WH5,1,Chat,2023-12-06 15:23:30.250273,2023-12-06 15:23:30.250280
1161,388,S-I-WH5,1,Chat,2023-12-06 15:24:02.752339,2023-12-06 15:24:02.752346
1163,185,RKU-II-5,1,Chat,2023-12-06 15:37:39.901302,2023-12-06 15:37:39.901309
1165,497,RKU-II-5,3,Chat,2023-12-06 15:38:43.228258,2023-12-06 15:38:43.228264
1171,4015,KVR-GL/31,1,Sum,2023-12-07 06:36:20.718818,2023-12-07 06:36:20.720447
1172,3102,KVR-GL/31,1,Sum,2023-12-07 06:38:25.037142,2023-12-07 06:38:25.037147
1174,1785,KVR-GL/31,1,Sum,2023-12-07 06:50:54.945673,2023-12-07 06:50:54.945678
1176,3836,KVR-GL/31,1,Sum,2023-12-07 06:55:39.336080,2023-12-07 06:55:39.336084
1177,356,KVR-III/2322,1,Chat,2023-12-07 07:37:25.939067,2023-12-07 07:37:25.939074
1178,652,KVR-III/2322,2,Chat,2023-12-07 07:38:57.081241,2023-12-07 07:38:57.081249
1179,786,KVR-III/2322,3,Chat,2023-12-07 07:45:02.532123,2023-12-07 07:45:02.532129
1188,151,RKU-II-1,1,Chat,2023-12-07 08:13:19.000332,2023-12-07 08:13:19.000339
1190,411,RKU-II-1,2,Chat,2023-12-07 08:13:48.730338,2023-12-07 08:13:48.730344
1191,428,RKU-II-1,3,Chat,2023-12-07 08:14:08.130057,2023-12-07 08:14:08.130063
1195,682,RKU-II-1,2,Chat,2023-12-07 08:17:47.438641,2023-12-07 08:17:47.438660
1196,1362,RKU-II-5,3,Chat,2023-12-07 08:18:10.873448,2023-12-07 08:18:10.873455
1198,2381,KVR-GL/31,1,Sum,2023-12-07 08:24:44.663696,2023-12-07 08:24:44.663700
1199,338,ITM-KM82,1,Chat,2023-12-07 08:24:46.594912,2023-12-07 08:24:46.594918
1204,449,ITM-KM82,1,Chat,2023-12-07 08:56:13.994375,2023-12-07 08:56:13.994383
1205,742,ITM-KM82,2,Chat,2023-12-07 08:57:13.840193,2023-12-07 08:57:13.840200
1207,340,MOR-GB2.35,2,Chat,2023-12-07 09:01:18.548560,2023-12-07 09:01:18.548566
1209,667,MOR-GB2.35,4,Chat,2023-12-07 09:01:45.875134,2023-12-07 09:01:45.875140
1210,861,MOR-GB2.35,5,Chat,2023-12-07 09:02:06.384705,2023-12-07 09:02:06.384712
2047,247,POR-5,1,Chat,2023-12-13 12:16:25.114245,2023-12-13 12:16:25.114249
2049,2999,RBS-ZIM-SÜD-1,14,Chat,2023-12-13 12:26:54.702616,2023-12-13 12:26:54.702622
2052,3314,RBS-ZIM-SÜD-1,16,Chat,2023-12-13 12:33:34.777642,2023-12-13 12:33:34.777647
2053,1559,KULT-ABT 4,2,Chat,2023-12-13 12:34:10.034946,2023-12-13 12:34:10.034952
2054,1200,ITM-KM8,1,Brainstorm,2023-12-13 12:36:26.832660,2023-12-13 12:36:26.832665
2055,1541,S-I-WH6,1,Sum,2023-12-13 12:36:50.953604,2023-12-13 12:36:50.953608
2056,962,ITM-KM8,1,Brainstorm,2023-12-13 12:37:06.718084,2023-12-13 12:37:06.718103
2057,2207,S-I-WH6,1,Sum,2023-12-13 12:37:34.378550,2023-12-13 12:37:34.378555
2058,3419,RBS-ZIM-SÜD-1,17,Chat,2023-12-13 12:38:54.520370,2023-12-13 12:38:54.520377
2059,271,S-I-WH6,1,Chat,2023-12-13 12:38:58.377715,2023-12-13 12:38:58.377879
2061,3591,RBS-ZIM-SÜD-1,18,Chat,2023-12-13 12:40:32.598984,2023-12-13 12:40:32.598990
2063,414,S-I-WH6,2,Chat,2023-12-13 12:41:22.369713,2023-12-13 12:41:22.369736
2065,609,S-I-WH6,4,Chat,2023-12-13 12:45:26.680111,2023-12-13 12:45:26.680117
2068,511,ITM-KM8,1,Brainstorm,2023-12-13 12:47:37.651270,2023-12-13 12:47:37.651275
2070,918,ITM-KM83,8,Chat,2023-12-13 12:48:27.531438,2023-12-13 12:48:27.531444
2078,1840,ITM-KM83,11,Chat,2023-12-13 12:53:39.359347,2023-12-13 12:53:39.359370
2081,1225,ITM-KM8,1,Brainstorm,2023-12-13 12:55:37.876367,2023-12-13 12:55:37.876371
2082,4166,RBS-ZIM-SÜD-1,21,Chat,2023-12-13 12:55:48.911489,2023-12-13 12:55:48.911495
2083,4182,RBS-ZIM-SÜD-1,22,Chat,2023-12-13 12:56:21.451319,2023-12-13 12:56:21.451324
2084,578,STR-SPD-Volt-Büro,2,Chat,2023-12-13 12:57:12.924729,2023-12-13 12:57:12.924753
2086,824,STR-SPD-Volt-Büro,3,Chat,2023-12-13 12:58:42.321865,2023-12-13 12:58:42.321871
2088,1346,STR-SPD-Volt-Büro,5,Chat,2023-12-13 12:59:38.383658,2023-12-13 12:59:38.383664
2089,2109,PLAN-HAI-22,1,Chat,2023-12-13 13:05:50.171907,2023-12-13 13:05:50.171912
2091,1201,ITM-KM83,1,Brainstorm,2023-12-13 13:08:41.490619,2023-12-13 13:08:41.490623
2093,698,ITM-KM82,1,Brainstorm,2023-12-13 13:09:41.261319,2023-12-13 13:09:41.261324
2094,636,ITM-KM82,1,Brainstorm,2023-12-13 13:09:46.409764,2023-12-13 13:09:46.409768
